subject,Customer,Location,Rating,date_time,Views,complaint,Total_reviews_by_customer,Customer_follower
Worst Fund Performance by PNB MetLife-NEVER INVEST,mginv09,India,1,"Nov 04, 2015 10:05 AM",12374 Views,"ULIP fund performance of PNB MetLife is worst in industry. The older funds of the company are not even able to beat its own benchmark.
Funds performance of newer funds are not at all impressive. According to its own fund performance report published by metlife on its official site, the older funds in which many of customers like me have invested have not even matching the benchmark performance. And after deducting scores of unnecessary and huge charges on ULIP products, what customer gets is NOTHING.  Metlife should seriously look into the working of its fund managers and try to improve the fund performance which is consistently worst.
I PERSONALLY RECOMMEND NOT TO INVEST IN PNB METLIFE PRODUCTS HAVING WORST FUND PERFORMANCE.
I am also attaching the snapshot of ULIP fund performance published on metlife website.

 ...Google PlusEmail Flag this reviewIrrelevantFakeJunk    Report this content as inappropriate on the site:

If you find this review content irrelevant on our site, report this review! Thank You! We appreciate your effort.",1 Review,null
I have nothing against it,chinna_63in,Jamshedpur India,4,"Aug 24, 2007 11:41 AM",3225 Views,"Many people might feel that since they invested in company ""x"" they should be treated as Gods. Thats not the case. Its just 5 yrs that we have stopped queuing up in LIC office to pay our premiums so that we can save taxes. The agents never to be seen once a policy is sold. Now a days at least there are mailers etc which private cos use.
customer's expectations suddenly started rocketing skyhigh when private cos entered. They expect too much from anyone and if those arent met they rate it poor. What wd they say about LIC when no service was available and one had to run from pillar to post for his own money?
MetLife is the only company which has settled a death claim in 48hrs and there was an article about it in media. The premiums are low and beneficial and the ULIp has so many features that most of the other companies don't have. The housing loan protector is the cheapest in India, term products are again the cheapest in india.  Returns are guarenteed upto 10% pa which no company gives. *What else do u want?
*Am not defending anyone , if the advisor doesnot come to pick a renewaL CHEQUE or any other matter we can understand that they are busy. It becomes our responsibility to remember the dates for renewals cause we buy policies for us and not for the advisor-agent.

 ...Google PlusEmail Flag this reviewIrrelevantFakeJunk    Report this content as inappropriate on the site:

If you find this review content irrelevant on our site, report this review! Thank You! We appreciate your effort.",1 Review,1 Follower
PNB Metlife: The Most Fraud Mutual Fund Company,chandank13,New Delhi India,1,"Aug 25, 2016 10:04 PM",9111 Views,"My policy no is 20150315 and I have taken Met Little Star.
It has been 6 years and 9 month since I have been paying Rs 3000/ per month and after a recent visit of one of your relationship manager, I came to know that my fund is not moving at all. I also came to know that that time due to the mere fulfillment and increasing the no of sold policy, this policy was sold to me by the agent.
From last 81 months I have been paying Rs 3000/ per month and the total principal amount is
81 months x 3000= Rs 2, 43, 000/
And my current Fund value is showing only Rs 2, 56, 000/? This means I have gained only Rs 13, 000/ as increment after 7 years?
Is this what I have been paying for in a mutual fund?
If I had invested this money in some other plan, the amount I would have got the twice at least.
My points are:-
1) Just to increase the number of selling they have sold me this dead policy.
2) Their appointed agents( Manju Pillai and her husband Sheshadhri-+91-9810860247) knew all about this, still they sold me this policy just to'eat' commission.
3) The fund manager is not acting well in this policy, in fact there is no fund manager.
4) They have'eaten' allotment commission and other charges on a regular basis, but They haven't given any benefit to your customer(me).
I have wasted my 7 years and what I got in return, absolutely nothing.
The crook agent'Sheshadhri Ramaswami'(+91-9810860247) who had sold me the policy has this facebook id=https://facebook.com/sheshadhri.ramaswami?fref=ts=
Beware of this crook and fraudster agent! I am attaching his photographs for the public!
My Verdict:- Don't ever go with PNB Metlife. They are bunch of crooks and will eat your all money!
...Google PlusEmail Flag this reviewIrrelevantFakeJunk    Report this content as inappropriate on the site:

If you find this review content irrelevant on our site, report this review! Thank You! We appreciate your effort.",2 Reviews,null
Zero Customer Care,tusharsavla,"Mumbai, Maharashtra, India India",1,"Aug 23, 2012 09:08 PM",8951 Views,"Had purchased a policy with annual premium of Rs. 2, 50, 000/-. However, after three year the policy agent does not care to respond. Neither the company's executive can respond to the query raised by me.

...Google PlusEmail Flag this reviewIrrelevantFakeJunk    Report this content as inappropriate on the site:

If you find this review content irrelevant on our site, report this review! Thank You! We appreciate your effort.",1 Review,null
"If you know how to cheat, we have lot of jobs",loveyou104,ludhiana India,1,"Jun 13, 2010 03:30 PM",3817 Views,"I buy this product to secure my future.I am paying premium for last four years.I am paying 99, 000/ per annum .Now I find that the funds are very less.They said that I can with draw funds after 3 years. They cheated me in this case.When I wanted to contact the person , he was transferred from the site.
I won`t to alert my friends never go with this.At the same time I invested in Birla life, 25000/pa.(3 years) I got back 85000/ .I am not saying to buy Birla life.I have documents to prove this.

 ...Google PlusEmail Flag this reviewIrrelevantFakeJunk    Report this content as inappropriate on the site:

If you find this review content irrelevant on our site, report this review! Thank You! We appreciate your effort.",1 Review,null
Pnbmetlife endowment saving plan plus,aaruu,Rohtak India,4,"Mar 28, 2017 09:58 AM",12408 Views,"Since the mergering of pnb and metlife .this is the best plan they hv laumched. Best for above 25 aged persons imcomed 50k p.a.
So the plan discription is : -
If you save 3000 per month for span of just 10 years.the company would gve you the apprx double amount of 642000.
The company gives you the insurnce cover of 3, 40, 000
Plus the premium deposited till date with interest for your nominee.
Its has loan facility.
Main perks are.the whole maturity amount will be tax free accrding toh sec 80 ( c) of income tax act.
The tax exempted amount is upto 150000 accrdimg to sec 10( 10D)
. So it is competely a suitable plan fr those.looking fir a good imvestmnt opportunity .for childre education fund after 10 years.
Pls give your feedback about this plan.

 ...Google PlusEmail Flag this reviewIrrelevantFakeJunk    Report this content as inappropriate on the site:

If you find this review content irrelevant on our site, report this review! Thank You! We appreciate your effort.",4 Reviews,10 Followers
Metlife - worth a look with caveats,simpletun,Pune India,3,"Dec 02, 2007 02:05 PM",6218 Views,"I woke up to the strange insecurity posed by the question ""what would happen if I were not around to pay my home loan"". I started scouting for term insurance policies - pure protection policies that come at a minimal charge for the protection.
Naturally I started comparing quotes from various providers since this was one of the easier policies to go for - no frills attached and no fine print to read, since there was no money coming back unless of course in the unfortunate event of the insured's demise.
After a thorough research of several vendors - Tata AIG, ICICI Pru, Metlife, Reliance, SBI, HDFC, Aviva, Bharti AXA,  LIC etc, narrowed down to two observations:
a. all these sites provide a premium calculator on their website but it is important to note some of these quotes include the service tax while some do not. For instance, LIC includes it but does not display it separately, ICICI includes and displays separately while Tata AIG does not include it!
b. Metlife does not charge service tax!
So Metlife it was then for me. I registered for a call back on their website and no one called. Then I called their call center and within 48 hrs, someone did call from their sales department. I met the guy and was provided the letter for medicals etc. Medicals were done and records misplaced. So another round of medicals. Finally policy was issued in more than a month and while I can see the details on the internet, there is still no physical copy available!
So my tips:
a. read magazines - after spending a month on my research, I found that business India had a page that indicated the comparisons and that Metlife was the cheapest!!
b. ensure you understand the applicability of service tax - at 12.36%, it is not an amount to writeoff. Besides, who knows what increments the future budgets will have in this regard
c. when applying, note your application number. You are doomed without it.
d. when you do your medicals, get a written confirmation from the medical place for your records. They will not share the results of the tests but can at least provide you in writing that you did your medicals!
Pros:


efficient call center for support


low cost


simple payment options - they appear to have centers quite widespread and hence easy to drop cheques for payment


website provides good online access to the policy although at this time there is no online payment option available




Cons:
There is supposed to be a financial advisor associated with each customer. I got a policy and it does show me the name of my financial advisor. I have not met or interacted with him though:)
Follow up - there is too much required since no updates are forthcoming. However since the call center is efficient, this is somewhat sweetened

 ...Google PlusEmail Flag this reviewIrrelevantFakeJunk    Report this content as inappropriate on the site:

If you find this review content irrelevant on our site, report this review! Thank You! We appreciate your effort.",30 Reviews,8 Followers
PNB Metlife Endowment Saving +,rakeshanansoni,"New Delhi, India India",1,"Nov 22, 2018 05:23 PM",168 Views,"Is a TOTAL FRAUD .DO NOT GO FOR THAT say I deposited 50 000 for 5 year around 250000 .I will get 160000 after 5 year LOSS of 1 Lac. Agents sitting in Bank often target FD Customer and say that will get more return than FD+ TAX Benefits which is NO WAY TRUE >

...Google PlusEmail Flag this reviewIrrelevantFakeJunk    Report this content as inappropriate on the site:

If you find this review content irrelevant on our site, report this review! Thank You! We appreciate your effort.",2 Reviews,1 Follower
PNB,THARUNRAGHUNATH,Bangalore India,1,"Jan 16, 2018 12:10 PM",3299 Views,"All insurance companies in one or the other type are cheating.   Last time I explained how I was cheated by Max Life Insurance company.  But as a customer please study on google about the products and I suggest strongly do not invest your hard earned money in an insurance company, but take only life cover that is life risk that is all.  Better than insurance company is mutual funds or still better will be invest directly your money into stock market for only only long-term investment by doing research.  But as far as pnb metlife I do not find any big problem as its products are good and in market linked products they offer unlimited switches and you can operate just like trading account and earn good amount of profits from the policy itself.

 ...Google PlusEmail Flag this reviewIrrelevantFakeJunk    Report this content as inappropriate on the site:

If you find this review content irrelevant on our site, report this review! Thank You! We appreciate your effort.",110 Reviews,41 Followers
PNB METLIFE is a cheat and inethical organisation,khurana76,Gurgaon India,1,"May 18, 2015 04:47 PM",9753 Views,"Every insurance company tries to sell policies and make money
but pnb along with metlife cheated me through its manager named prasanjit mitra;
since prasanjit mitra  from pnb metlife cheated me, I have taken oath to work for entire world population in making sure my story gives lessson to others and no one trusts pnb metlife insurance and savings plan.
I will keep on writing these blogs years afetr years making sure every human ebing in this world knows and understadns that pnb, metlife and pnb metlife are cheat orgsanisations and world shoulld never buy any products from pnb & metlife and  pnbmetlife ever in life.
both pnb and metlife are very defamed and known as cheat organisations across the world.
I was struggling with critical illness and was paralysed when prasanjit mitra called me and introduced himself as pnb metlife manager;
he misgudied me by telling me wrong information about plan and then showed em a identity card of pnb metlife .
looking at pnb metlife employee card, I trusted that as pnba nd metlife are bog orgsniation, they will not cheat a needy and disabled person who was struggling with critical illness.
it has been 4 years and pnb metlife is not giving em my promised health cover nrenewal which aas promised and I got the same as part fo policy and as promised in 2014;
but since alst 3 years the cheat prasanjit mitra;
if someone finds parsanjit mitra please spit on his face for cheating a disabeld and I warn and request readers to never ever trust managers working in pnb ro metlife or pnbmetlife to take any products and please never buy any products from pnb, or metlife or pnb metlife, .
MY CONTACT NO SI 8527770312 IN INDIA

 ...Google PlusEmail Flag this reviewIrrelevantFakeJunk    Report this content as inappropriate on the site:

If you find this review content irrelevant on our site, report this review! Thank You! We appreciate your effort.",90 Reviews,10 Followers
PNB CHEATER Insurance Ltd.,abhi19july,Kolkata India,1,"Jul 24, 2015 10:06 PM",11047 Views,"It is a known fact that insurance agents resort to blatant lies, mis-selling, as well as pressure tactics(like you need to buy an insurance policy for bank loans, locker, etc.) to meet their sales targets. It does not matter what the customers' requirements are, you can always'trust' an agent to sell the most irrelevant and expensive policy, without any concern for your personal financial plans.
PNB Metlife, however, has gone a step further. They actually encourage their telecallers to defraud existing or former clients, while still not officially breaking the law.
I happen to be a former policy holder of PNB Metlife India. I held a ULIP policy of Metlife, which was surrendered a few months ago, and all payable benefits duly obtained into my bank account through NEFT transfer. My policy no. is 1200900853572. I took out this policy through Axis Bank, and my agent was Mr. Hiranyava Biswas. All of this investment was done through proper channel without any financial irregularities.
However, for the past few months I have received regular phone calls from a person who claims to be a customer care executive of PNB Metlfe India. He apparently knows my name and address details, and also the fact that I am a former client of Metlife. He wanted to know the exact amount of money that I received following the surrender of my ULIP policy. I was a bit suspicious, so I did not give him the details. Next he asked me details about my reasons for taking out a ULIP poilcy and reasons for closing it.
By this time, I was fairly confused and suspicious so I did not discuss everything. Subsequently, this person tried to entice me by saying that one of the Metlife agents, named Niraj Kumar, had forged my signature, and siphoned off some additional benefit of Rs. 35000, to an account of Bank of India, which the company intended to pay me. He apparently tried to convince me that I could possibly claim this benefit somehow. This sounded highly irregular, so I only told him to send me whatever offers or suggestions he had over email(that would also reveal his IP address) to my registered email address.Another irregularity was that he called my alternate mobile number, which was not my personal cellphone number. He never contacted me in my own cellphone number- 9051944272.
The number that he called from is 9136668167. I have used internet resources to verify that this is a MTS connection from Delhi circle. This is also suspicious, because, PNB Metlife is headquartered in Bangalore, not NCR. I have cross-checked this number from the database of all contact nos. of all Metlife branches in Delhi-NCR, and none match with it.
I would have believed that this person is a rogue insurance agent or advisor, acting on the basis of leaked customer information, to offer another insurance policy. However, certain events that followed have convinced me that this person is probably a bonafide Metlife employee, possibly encouraged by his employer or superiors to try off-hand tactics to hardsell a policy.
I contacted the Metlife HQ in Bangalore, and subsequently, their customer service, informing them of this fraud attempt. Firstly, they tried to downplay this issue, instead offering to send an advisor to my address to'suggest' some new policies. When I insisted that I wanted to go ahead with a complaint, they advised me to provide a written complaint at one of their branches, along with self-attested copy of ID proof(imagine the callousness! They will send their agent to customer's home to sell a policy, but when it comes to complaints, let the customer do all the running around). But the strangest thing is, from the very day I made this complaint, this mobile number was unreachable or switched off from the next day. It was obvious that someone had given this caller a warning about my complaint. Metlife never showed any interest in pursuing this issue.
This is even more disgusting now. On 12th September, 2015, I received another call from a number 1203050300 on my mobile no 9830580141. I know Metlife's standard answer to such fraud attempts, so I asked the caller to give proof that he was a Metlife employee.
His answer: My own name My nominee name My address My date of birth All this were correct, an info available only with PNB Metlife.( I later called up PNB Metlife customer care that some agent or employee has leaked these details, which means PNB Metlife is an irresponsible company which cannot secure customer information).
Now I asked the caller to give details about his location and who authorized him to call me.
He repeatedly told me that this was a ""service"" call about a missed ""bonus"".
His details:


Name of Akaash Sharma


Office location Borivoli, Mumbai




I checked the number, it has location of Dadri, Ghaziabad and service provider is Reliance Communications.
Wonderful! Another call from PNB Cheater India Insurance Ltd. This time the details are as follows:


Call to my number 9830580141


Number 1204692300


Caller name(claimed) Amitabh Chaudhuri


Actual location Dadri, Ghaziabad


Service provider is Bharti Airtel


Date is 21st Sep, 2015, around 1:15 pm in the afternoon(probably trying to nail a client before going on lunch break)




The caller claims that he has details about another policy that I took out on 2010( accurately gives me policy number and annual premium value).
I ask for more details for verification, especially First holder name and address, as well as nominee name. Keeps repeating that I missed out on ""bonus"". Finally, I tell this guy that I am looking at the phone number location of Ghaziabad and service provider Airtel. He immediately cuts off.
Go on, Metlife. Tell me none of these numbers belong to you I would love to hear Metlife's explanation about this episode
My question to PNB Metlife is: How come a fraud caller has access to customer details? If I file an FIR and then approach Reliance Communications and Airtel, they will divulge all customer details. I am convinced that the number will be that of a Metlife agent. So how come you people deny your involvement? The only explanation is that you are a fraud company, and use all legal loopholes, isn't it?

 ...Google PlusEmail Flag this reviewIrrelevantFakeJunk    Report this content as inappropriate on the site:

If you find this review content irrelevant on our site, report this review! Thank You! We appreciate your effort.",23 Reviews,7 Followers
PNB-Metlife Insurance Company is a fraud and cheat,come2cnit,Delhi India,1,"Oct 23, 2015 10:46 AM",11408 Views,"I had bought a policy from PNB-Metlife 1.5 years back. It was a mis-selling case from the agents.
After filing a complaint at the Insurance Ombudsman, the court ordered the company to return my money.
Now its been almost 2 months since I have submitted all my documents at their office but not receiving any communication from their side.
When ever I call the helpline, they ask me to drop a mail to the company but the GRO of the company is not replying to any of my communications.
This company is fooling people and all people working in it are trained to simply not help people.
On my part, I would ask all people not to take any policy from PNB-Metlife or be prepared to make your life a hell.

 ...Google PlusEmail Flag this reviewIrrelevantFakeJunk    Report this content as inappropriate on the site:

If you find this review content irrelevant on our site, report this review! Thank You! We appreciate your effort.",1 Review,null
Complaint against pnb metlife fraud insurance comp,shivamgupta89,"Noida, India India",1,"Feb 16, 2017 04:23 PM",7836 Views,"Please help me to get my money back from fraud pnb metlife insurance company. pnb metlife agent made me fool by showing false documents regarding the policy, he told I will get more than double of my principle amount after 10 year. but 2 days back, I got to know he made me fool and given me false information by show given wrong details and wrong documents
So after that I don't want to continue my policy with pnb metlife fraud insurance company. please help me to get my money back as soon as possbile.
policy number: 21782758
Full of fraud is going on by pnb metlife

 ...Google PlusEmail Flag this reviewIrrelevantFakeJunk    Report this content as inappropriate on the site:

If you find this review content irrelevant on our site, report this review! Thank You! We appreciate your effort.",1 Review,1 Follower
PNB Metlife Mera Term Plan: Nice Experience to buy,jitu255,BHOPAL India,4,"Mar 01, 2016 12:46 PM",13055 Views,"Hi Everyone,
This is my first review on Mouthshut. It is regarding my recently online purchase of Term Insurance of PNB Metlife named as PNB Metlife Mera Term Plan.
I had been tried to review it before taking it, but as this product is comparatively new so there is nothing great, I can found. I had compared features & premium cost of others, & find this plan best suitable for me. As its come with 4 different payout option on affordable premium rates. Few review I had been found, which says that Generally PNB Metlife taken very much time to issuance policy, some time more then a month. So it was a hitch in my mind, but finally I proceed for it.
I had been applied for it on 17th Feb 2016, pay first premium online & on 20th they arrange home visit of a pathologist for all required medical test. He did all test at my home only. & amazingly, which really I was not expecting on 27th Feb 2016 I got a message that your policy has been issued & I received its soft copy over my mail.
Finally it was a great experience to buy it, but still I will 4 stars, because of my concern regarding their customer approach. that's why only I am reducing their one star.
Actually I was expecting at-least a single call from their Customer service dept, who can discuss with me regarding policy benefits & also clarify my concerns. In a scenario where if you mentioned your cell no in any insurance company's website. they will make your life hell, but PNB metlife seems to be least bother about having chit chat with their probable customers. Even after making payment, I had not received a single call from them, which actually I was expecting.
So till now I can conclude it a nice experience, just expecting in future, if required they will not so much lethargic on claim settlement aspects.
Thanks
Jitendra Tripathi.
Bhopal

 ...Google PlusEmail Flag this reviewIrrelevantFakeJunk    Report this content as inappropriate on the site:

If you find this review content irrelevant on our site, report this review! Thank You! We appreciate your effort.",1 Review,null
Met Protect: Quick Processing of Application!,phamitus,Amherst USA,4,"Dec 07, 2010 04:51 PM",6940 Views,"I had a bad experience with ICICI Pru's iProtect online policy because of their bad customer communication and so chose Metlife.I paid premium for Metlife's MetProtect policy online on Nov 11, 2010.  I got the policy in my hand in just 15 days!
Metlife offered me to do my medical tests at a hospital of my choice!  They sent their representative to collect my documents.
Best part of it all was coverage began the day my policy premium was paid (and not from the day the policy is approved as with ICICI Pru iProtect)
I am also able to login on their website and check the status of my policy anytime.
Very good experience so far.

 ...Google PlusEmail Flag this reviewIrrelevantFakeJunk    Report this content as inappropriate on the site:

If you find this review content irrelevant on our site, report this review! Thank You! We appreciate your effort.",5 Reviews,4 Followers
Mental Torcher even after paying 4 years premium!,bantakaldotcom,Karnataka India,1,"Nov 17, 2012 01:07 PM",10367 Views,"I have axis bank account and there in year 2007 one of the bank representative convinced me to take a metlife policy [ met smart plus] saying I have to pay only 3 year premium (which is unit link , ULIP or tax saving policy ). I trusted him and signed everything to get a policy.
After receiving policy certificate and terms details, I came to know some hidden terms like I'm unable to withdraw funds before 3 year (3 year lock period) After 4th year they will deduct surrender charges as per table given below [ from Fund value ]
4th Year -  70%
5th Year -  60%
6th Year -  50%
7th Year -  40%
8th Year -  30%
9th Year -  20%
10th Year - 10
From 11th year onward - nill
For example: if your fund value is Rs 1, 00, 000  in 4th year and if you want money and surrender policy (to withdraw all money ) You will get only Rs 30, 000 !!
what I have done is I paid 3 year premium and then stopped...but metlife customer care keep calling me and explaining to pay premium by saying fund value will grow and stock market is down and it's right time and many other things. But their fund growth is worse, everyone who own their policy knows it and if you want proof, check reviews posted in mouthshut.
They don't explain that why their funds value is not growing? and trying to lure policy holder to invest more money. May be because they don't have sufficient funds to trade? or they give good commissions to the caller who successfully convince the policy holder to invest more money.
Even after saying that I'm not going to invest anymore for many times, today I received call and the representative said new thing to me. which is I just have to approve, and he will remove fund from my policy and pay the premium renewal :) I never heard this kind before.
I hope metlife is not another scam. I'm just waiting to withdraw all funds from my policy. I would love to cut loss and take remaining money instead of investing more in any metlife insurance policy!

 ...Google PlusEmail Flag this reviewIrrelevantFakeJunk    Report this content as inappropriate on the site:

If you find this review content irrelevant on our site, report this review! Thank You! We appreciate your effort.",54 Reviews,32 Followers
Ethical and supportive company,jk143,chennai India,4,"Nov 11, 2005 03:36 PM",4342 Views,"Well commenting on Mr.Nambi's review I dont feel that the quality of service and products is not that very bad as said by nambi,also the rejections could be due to various reasons as ascertained by the company and if his case had been rejected medically means it could be due to his poor health condition.the company has priced its products concsiously keeping in mind the purse of the consumers at the same time providing good quality products and service.so I totally disagree with Mr.nambi bcoz I believe that since his case might have been rejected he is slinging mud on metlife.well metlife is a 137 yr old company and is the 36th position in the fortune 500 list and if their service should be so poor then they would have surely gone with the wind long back ago.
only a company that good management,products and service would have been able to survive this long so I think if there are any personal grievances it should be brought to the notice of the company clearly mentioning the problem.rather than be blunt without clearly stating what the problem.even here Mr.Nambi has not told us what were his problems that he had faced with Metlife.
further more if u have any problems,pls mail  to  pragavan@metlife.com
  ...Google PlusEmail Flag this reviewIrrelevantFakeJunk    Report this content as inappropriate on the site:

If you find this review content irrelevant on our site, report this review! Thank You! We appreciate your effort.",6 Reviews,null
READY to Lose MONEY! CHOOSE METLIFE!!,karthcs030,"Bangalore, India India",1,"Mar 17, 2014 06:35 PM",8908 Views,"I was wondering if I could give negative ratings in this website, unfortunately it is not possible. Worst ever company I have dealt with, If you are ready to loose the money then opt for Metlife.
I have taken a policy and paid around a premium of 78K when I want to withdraw after 5 years they are I will be getting around 36 K. I went ahead and surrendered the policy, one of the rep has called me to continue the policy as Metlife is still not invested my money.
I was shocked to hear his comment, after 5 Long years they have not even invested my money! Reason given was I have taken the policy in recession time. Then why the hell they have sold policy in recession time.
Fraud company! Never ever buy anything from them.

 ...Google PlusEmail Flag this reviewIrrelevantFakeJunk    Report this content as inappropriate on the site:

If you find this review content irrelevant on our site, report this review! Thank You! We appreciate your effort.",3 Reviews,3 Followers
No tensions for your immediate family members...,bhalpa,Bangalore India,4,"Jul 15, 2008 10:27 AM",3789 Views,"I am a SSE in a MNC, and was never intrested with the insurance plans, because I have lived life everyday. I have already taken two home loans and a car.
One day, my collegue had an heart attack (thank GOD, he is alive!!!), but had to undergo medical treatments which cost him close to abt 10 Lakhs. According to him, all his saving were shelled towards his treatment and now he is building up his savings again.
Thats when I realised that I need to secure my family members. I made up my mind to not to pass on any burden (financial) to my family. That when I came across insurance which was suiting my needs.
I called some insurance agents and had a brief discussion on my situation. But most of the advicers are not capable of explaining the terms and conditions.
Then I met an Advisor in MetLife, I gave him my requirements and he gave me a perfect plan.
After discussing the plan with my family members, decided to take the plan.
So, one day I had a appointment with the advisor and filled the necessary forms and was done. I also had my complete health checkup done and got me and my family insured.
I think each and every person needs to be insured. But before doing so, please make  a list of the liabilties that you have and then take a plan which covers that.
Thanks a lot and happy living.

 ...Google PlusEmail Flag this reviewIrrelevantFakeJunk    Report this content as inappropriate on the site:

If you find this review content irrelevant on our site, report this review! Thank You! We appreciate your effort.",3 Reviews,null
Please nobody opt for Metlife,runac,kolkata India,1,"Jun 01, 2011 01:20 PM",3494 Views,"I have invested Rs.36000 for 3 years and after 4 years when I claim my money, I have received Rs. 24000. It is total  loss. Nobody told me when I started the policy that the amount will be deducted. Just poor customer service.
They give wrong information, dont receive phone calls etc. I suggest everybody, DONT go for this policy. I have done a mistake, Please you dont do that. They do not inform you properly, they only say for profit, but dont show you the actual scene.

 ...Google PlusEmail Flag this reviewIrrelevantFakeJunk    Report this content as inappropriate on the site:

If you find this review content irrelevant on our site, report this review! Thank You! We appreciate your effort.",1 Review,null
8 year old customer,null,null,1,"Oct 24, 2018 05:46 PM",Read,"The agent shown me calculation considering bonus paid @ rate of 8% and 4%. But actually company paying me bonus @2.5%. Since I have already in completed 8yrs, waiting for another 2yrs for completion of policy. But the maturity amount will be much less than what agent told me.

...Google PlusEmail Flag this reviewIrrelevantFakeJunk    Report this content as inappropriate on the site:

If you find this review content irrelevant on our site, report this review! Thank You! We appreciate your effort.",null,null
"Mental and financial harassment, avoid PNBMETLIFE",AMARAUM,Rishikesh India,1,"Jul 18, 2015 05:34 PM",10758 Views,"Policy numbers - 00294481 and 00299860
very bad service
they don't care
their fund returns losses no performance
avoid PNB MET LIFE if you want peace for your children.
Mental and financial harassment by PNB METLIFE my policy no. 00299860 and surrender request payment done after 33 days which supposed to be in a week
To
The Grievance Redressal Officers PNB Metlife India
Subject: Complaint regarding my policy no. 00299860 surrender request fund not released
Dear sir/Madam
Firstly On 24th March 2015 I called to phone no.  0135 6456100 PNB MetLife branch Dehradun but however this phone no. not available and same phone no. 0135 6456100 is updated also on their website http://www.pnbmetlife.com. Then I called to phone no. 080 66006969 their head office Bangalore and talk to one of their customer service executive regarding the Dehradun branch office phone no. and he also mention phone no. 0135 6456100, I told them this phone no. 0135 6456100 is not working he said sir this is the phone no. 0135 6456100 updated in our system than I ask them what is the procedure for a policy surrender request. He told me surrender request form along original policy documents with necessary copy of ID etc.  Send to address written below:
PNB MetLife India Insurance Company Limited.
No.5 Brigade Seshmahal Vani Vilas Road Basavanagudi
Bangalore
Phone: 080 - 66006969 / 26438638
Fax: 080-22421970
Pin: 560004
On 24th March 2015 all the necessary documents was send on above address by DTDC courier Tracking No. Z48132606.
On 28th March 2015 Time 2:05 PM I call to phone no. 080 66006969 their head office Bangalore and made confirmation of receiving all the documents from MR. GUNADHUAR DEVNAATH interaction ID No. 030254275 same day I was intimated by phone from PNB MetLife that I Have to visit personally to Branch Office Dehradun for my surrender request, I explain them that their Branch office is 65 K.M from the address on my policy and I will have to close my store that you want me to visit your Branch office and asked them why your customer service executive gave me all the wrong information that I can send my surrender request to their head office. They didn't have any answer and they don’t care for this.
On 1st April 2015 in the end I have no choice and disappointing visit to their Branch office DehraDun, where I have explain them all the matter and then again they want me to fulfill their all the formalities for fresh request. They really gave me trouble. Anyway I got receipt regarding for this fresh surrender request also I received email about.
But unfortunately up now 20 April 2015 I have not received any Credit in my Bank Account for my policy no. 00299860 regarding surrender request. Neither any email, SMS, call or latter about the delay of payment. I get tired calling them but there is not any reliable information from their customer service center. My last email to Indiaservice@pnbmetlife.co.in on 15th April 2015 they gave me interaction no. 030-593-092   and my last two phones to customer service center 1- complain or interaction with Mr.  Jairam on 16 April 2015 time 03:57 pm, Complain no. 030595850. And 2- Complain or interaction Anshunan with Mr. 030668418 on 20 April 2015 time 02:37 PM.
Whenever I log my policy on their portal @ metcustomer.metlifeportal.co.in it shows contract surrender
As you see whole matter they totally doing Harassment and this are clearly cheating, fraud.
They must be punished. Hopefully you take action against them and Credit my money in my account with heavy penalty. Because they also have charged me penalty for this contact surrender and now they break their contract not to credit money in my Bank Account under maximum 15 days time period.
I will Appeal to PMO because this is not only my personal matter there are 70% innocent citizen in India.
Looking forward to hear from you soon.
Regards,
Amar Singh Soni
 ...Google PlusEmail Flag this reviewIrrelevantFakeJunk    Report this content as inappropriate on the site:

If you find this review content irrelevant on our site, report this review! Thank You! We appreciate your effort.",1 Review,null
PNB Met endowment saving plan is bogus policy,simmigupta121,Noida India,1,"Apr 16, 2017 10:34 AM",4258 Views,"PNB Met endowment saving plan is bogus policy. My advice is to stay away from this policy. The marketing people will tell false numbers on the bonus you will get on this policy. They will do the calculation based on 7 to 8% revisonary bonus whereas the actual bonus declared last year 2015-2016 is just 2.3%. Please check the site for the bonus declared against this policy for last few years.
Dont go for it.!

 ...Google PlusEmail Flag this reviewIrrelevantFakeJunk    Report this content as inappropriate on the site:

If you find this review content irrelevant on our site, report this review! Thank You! We appreciate your effort.",1 Review,null
Online Term insurance plan,anjith007,Bangalore India,1,"Jun 15, 2016 12:17 PM",11241 Views,"This is personal experience. No proper customer response from PNB met life.
The service is worst I never seen any insurgence.Please do not go for PNB met life.
I took plan in April and pain 15000 till now I did not got my documents. I want to cancel my policy but no response for that also.
As per IRDA Rules we can cancel the policy in free look period still PNB seems not allowing to do that.
But while taking plan the Customer care is good and fallowing up for the payment and documents but up on payment no response.

 ...Google PlusEmail Flag this reviewIrrelevantFakeJunk    Report this content as inappropriate on the site:

If you find this review content irrelevant on our site, report this review! Thank You! We appreciate your effort.",1 Review,null
